数据来源,标题,内容,帖子主题,是否活动贴,回复数,点赞数,浏览数,分享数,互动率,综合互动得分,情绪标签,提及产品,产品属性标签,创建时间,发布日期,发布小时
C酱1区,那些买了半身娃娃的兄弟们，你们都是怎么藏的？,"那些买了半身娃娃的兄弟们，你们都是怎么藏的？
哥们我学生党啊，住宿舍啊，6个人啊
对飞机杯、大屯都无感
偏偏钟情于半身娃娃
有同样住宿舍的又买了半身娃娃的老哥吗
你们的老婆都是怎么藏的
或者有没有老哥推荐一下适合在宿舍用的半身娃娃。",求助/咨询,否,40.0,15.0,4192.0,18.0,0.0095419847328244,25.9,正面,,收纳,2025-07-15 16:19:01,2025/07/15,16
C酱1区,我又选择困难了,"我又选择困难了
本来在可可狼姬和黄油小姐中我选择了后者（也是考虑了好久），但是看到社长娜娜子的外形，好喜欢啊，🐻型完美贴合我的xp，好纠结啊，我到底要选那个啊？",其他,否,7.0,21.0,1420.0,2.0,0.0049295774647887,9.7,正面,可可狼姬、黄油小姐,外观,2025-07-15 17:46:08,2025/07/15,17
C酱1区,超大车灯！开箱一个半身娃娃是什么体验？,"超大车灯！开箱一个半身娃娃是什么体验？
文前高亮：本人刚毕业找到工作，目前和朋友合租！本评测真实有效，体验来自本人的二弟！
如果和我一样是预算有限的兄弟，可以参考一下！
好了叠甲完毕，直接上正片吧。",产品评测/开箱,否,53.0,13.0,1522.0,4.0,0.0348226018396846,26.3,正面,,材质,2025-07-16 11:10:17,2025/07/16,11
C酱1区,娃娃的正确储存方式！嗯！好样的！,"娃娃的正确储存方式！嗯！好样的！
",其他,否,1.0,0.0,123.0,2.0,0.008130081300813,1.0,正面,,,2025-07-16 15:22:15,2025/07/16,15
C酱1区,有没有大佬整理吧友优惠链接,"有没有大佬整理吧友优惠链接
有没有可可狼的优惠劵",其他,否,6.0,3.0,489.0,2.0,0.0122699386503067,3.9,中性,可可狼姬,,2025-07-17 14:53:11,2025/07/17,14
C酱1区,半身娃娃穿搭,"半身娃娃穿搭
给娜娜子整了一套粉红小衣服，这穿搭奇怪吗？",其他,否,12.0,7.0,1380.0,0.0,0.008695652173913,6.9,中性,,,2025-07-17 20:59:50,2025/07/17,20
C酱1区,和喜欢的人一起健身看电影,"和喜欢的人一起健身看电影
可我喜欢的人不喜欢我😭",其他,否,2.0,16.0,220.0,1.0,0.009090909090909,5.8999999999999995,正面,,,2025-07-18 11:29:19,2025/07/18,11
C酱1区,可可1.0和2.0预测评,"可可1.0和2.0预测评
以前已经入了可可1.0还打算入手2.0，有想看两款对比的可以蹲一手。",产品评测/开箱,否,2.0,6.0,199.0,0.0,0.0100502512562814,2.5999999999999996,正面,可可狼姬,,2025-07-18 11:54:54,2025/07/18,11
C酱1区,xdm开箱新入的半身娃娃了,"xdm开箱新入的半身娃娃了
就是一句“车灯越大，开得越爽~”
我就买了coc社长娜娜子，
快递也是给力，周六就到了，那可不得趁着周末好好玩一玩。
所以一到快递点我就立马去拿了，到家拆开那一刻视觉冲击拉满。
大雷是一点没让我失望~",产品评测/开箱,否,98.0,39.0,4428.0,0.0,0.0221318879855465,50.900000000000006,正面,,通道刺激度,2025-07-21 14:30:40,2025/07/21,14
C酱1区,宿舍也能用半身娃娃？分享绝不被发现的三种藏杯方法！,"宿舍也能用半身娃娃？分享绝不被发现的三种藏杯方法！
原则上是不推荐在宿舍玩的，一来容易被发现尴尬不说，二来也就是健康的zw要在安全舒适的环境里进行，并且尽量久一点，不要养成快速发身寸的习惯。
但都是男的都懂年轻时候需/求旺/盛，但大学时代又没条件有单独的空间是放，所以这里给大家分享三种藏杯方法。",其他,否,9.0,8.0,402.0,0.0,0.0223880597014925,6.0,正面,,收纳,2025-07-22 15:16:39,2025/07/22,15
C酱1区,初恋女友星梨奈,"初恋女友星梨奈
星梨奈一代购入一年了，虽然现在有了可可跟黄油，但是还是忘不了这个“初恋女友”，于是今天拿了出来拍了几张照片，还有当时送的收纳盒，可爱捏，产品没有异味，真实外形复刻，等比例缩小，手动太累，不如体验一下星梨奈的电动，刺激性小，非常适合新手，再也不用怕被秒了#COC##半身##圣杯##星梨奈#",其他,否,72.0,28.0,4969.0,19.0,0.0144898369893338,42.900000000000006,正面,可可狼姬、星梨奈,气味、材质、通道刺激度、外观、电动功能、收纳,2025-07-22 23:41:43,2025/07/22,23
C酱1区,【萌新】半身 和 普通飞机杯用起来，感觉真的不一样吗？,"【萌新】半身 和 普通飞机杯用起来，感觉真的不一样吗？
镇楼",其他,否,15.0,9.0,552.0,0.0,0.0271739130434782,8.7,中性,,外观,2025-07-23 15:50:03,2025/07/23,15
C酱1区,社长娜娜子穿搭（白丝版）,"社长娜娜子穿搭（白丝版）
这白色蕾丝
有点好看，当然更性感
期待一下娜娜子穿上的样子",其他,否,15.0,15.0,1130.0,0.0,0.0132743362831858,10.5,正面,,外观,2025-07-24 15:11:38,2025/07/24,15
C酱1区,丁丁世界纪录大赏:最久vs最长,"丁丁世界纪录大赏:最久vs最长
好奇男人硬件的极限在哪吗？
今天来看三条劲爆的世界纪录",其他,否,12.0,7.0,412.0,2.0,0.029126213592233,7.5,中性,,材质,2025-07-28 11:31:45,2025/07/28,11
C酱1区,有在宿舍玩半身的狠人吗？,"有在宿舍玩半身的狠人吗？
用过四五个杯子了，现在普通的杯子没啥感觉了，就想试试半身娃娃，
但是因为lz才大三住宿舍，真的不敢买怕被发现。
最近逛贴吧，看到有8u在宿舍玩社长娜娜子，想问问你们是怎么藏的啊？
宿舍用不会被发现吗？还有那么大一个家伙洗什么的不方便吧。",求助/咨询,否,6.0,1.0,623.0,4.0,0.0096308186195826,3.9,中性,,收纳、清洗,2025-07-28 16:04:21,2025/07/28,16
C酱1区,31省男人niuniu尺寸排行榜！你是那个省的喵,"31省男人niuniu尺寸排行榜！你是那个省的喵
刷手机就跳出来了，好奇点进去看了（还不如不看）
重庆竟然倒数第三！我不服！！好桑心，哼，没调查过我就不是具体数值我放楼下",其他,否,30.0,15.0,1196.0,6.0,0.0250836120401337,18.3,正面,,收纳,2025-07-29 16:34:19,2025/07/29,16
C酱1区,【科普】如何提升飞机杯的使用体验,"【科普】如何提升飞机杯的使用体验
新手期使用飞机杯的问题，总结下来可以基本归纳为2大类：
（一）没感觉；（二）进去难。",使用经验分享,否,8.0,2.0,385.0,0.0,0.0207792207792207,3.8,正面,,,2025-07-30 16:57:35,2025/07/30,16
C酱1区,冲鸭！C酱家暑期盖楼，福利大大滴有！【抽奖】,"冲鸭！C酱家暑期盖楼，福利大大滴有！【抽奖】
【抽奖时间】2025年09月1日20:00开奖
【参与范围】关注""c酱家的绅士基地1区""的吧友
【参与方式】带关键词「社长娜娜子」评论本贴
【奖品信息】新品coc赤鸢*1，coc社长娜娜子*1，coc星梨奈*1
【领奖有效期】中奖吧友请在2025年09月3日23:59前完成领奖
【友情提醒】
一、不限回复楼层数，盖楼次数越多，被抽中的概率会越大喵~
二、中奖后名单会本帖子公布，【领奖】请私聊喵~
三、抽奖的友友，需要关注本吧【谢谢喵~】",活动贴,是,24656.0,358.0,40185.0,25.0,0.6135622744805276,9977.3,正面,赤鸢、星梨奈,,2025-08-01 16:38:25,2025/08/01,16
C酱1区,不用了的半身娃娃可以怎么处理？,"不用了的半身娃娃可以怎么处理？
圣杯这个东西只要入坑了，很多人在谈对象之前大概率都会入手第二个、第三个...进阶的会入手到屯、半身这种大一点的仿真度更高的，毕竟new也很好奇不同的杯子有什么不一样的体验嘛~
但玩杯一是爽，不用了处理却抠破脑壳？？
到底要怎么处理不用了的圣杯、屯、半身呢？",其他,否,80.0,27.0,5910.0,7.0,0.0135363790186125,42.2,正面,,通道刺激度,2025-08-04 11:42:19,2025/08/04,11
C酱1区,【杯杯测评】萌新or老手？不同段位半身选购指南来了！,"【杯杯测评】萌新or老手？不同段位半身选购指南来了！
不管你是刚入坑的好奇萌新，还是阅娃无数的资深老手，进了这个帖，咱就是一家人！👋
还在纠结哪种半身适合你？怕踩坑？怕花冤枉钱？
好家伙，那你可算来对地方了！这篇指南专治各种选择困难症！
咱这就开唠，帮你精准匹配，少走弯路！",产品评测/开箱,否,92.0,37.0,2900.0,4.0,0.0317241379310344,49.10000000000001,负面,,外观,2025-08-04 15:04:30,2025/08/04,15
C酱1区,我不会是全网最后一个买星梨奈的鼠鼠吧,"我不会是全网最后一个买星梨奈的鼠鼠吧
打了一个月暑假工，终于发工资了，有币了心理的小火苗更是蹭蹭往上长，这不就冲动下单了coc星梨奈，前辈们，能说说注意事项吗？还有我跟室友一起住会不会被发现社死啊？",闲聊/水贴,否,4.0,5.0,397.0,4.0,0.0100755667506297,4.3,正面,星梨奈,,2025-08-05 13:53:43,2025/08/05,13
C酱1区,学了点东西，niuniu按摩操,"学了点东西，niuniu按摩操
我发现还真是学学更健康~
别小瞧这个按摩操了，正确的按摩可使其血液循环畅通，并有助于海绵体的修复哦
有利于健康以及提升质量的，至于啥质量，你们懂的！",其他,否,33.0,32.0,1632.0,2.0,0.0202205882352941,23.4,中性,,,2025-08-07 14:25:11,2025/08/07,14
C酱1区,新人想要半身娃娃,"新人想要半身娃娃
鼠鼠还是小楚楠，想要更接近真人的体验和外观",其他,否,43.0,13.0,1976.0,18.0,0.0217611336032388,26.499999999999996,中性,,外观,2025-08-07 15:50:47,2025/08/07,15
C酱1区,8u们有优惠链接吗？,"8u们有优惠链接吗？
终于给我蹲到了活动，今晚必须低价入星梨奈！",其他,否,6.0,3.0,369.0,1.0,0.016260162601626,3.6,中性,星梨奈,,2025-08-07 16:40:13,2025/08/07,16
C酱1区,"xdm,400拿下极速之星，必须狠狠测评！","xdm,400拿下极速之星，必须狠狠测评！
xdm，本等等党这次真赢麻了！
这电动杯的伸缩是真顶 啊！
想体验电动杯又预算有限的，信我，极速之星真是还不错选择！",产品评测/开箱,否,17.0,8.0,984.0,0.0,0.0172764227642276,9.2,正面,,电动功能,2025-08-08 15:54:37,2025/08/08,15
C酱1区,长度和宽度那个更重要呢？,"长度和宽度那个更重要呢？
",其他,否,46.0,109.0,14705.0,3.0,0.0031281876912614,51.99999999999999,中性,,通道刺激度,2025-08-11 09:20:13,2025/08/11,9
C酱1区,大家玩半身什么感受？,"大家玩半身什么感受？
刚开始接触斐济杯，就选了星梨奈这款迷你半身，没想到它可玩性还蛮高的，既可以做为释放压力工具，又可以锻炼耐性",闲聊/水贴,否,3.0,4.0,310.0,2.0,0.0096774193548387,3.0000000000000004,正面,星梨奈,收纳、通道刺激度,2025-08-11 14:14:23,2025/08/11,14
C酱1区,星梨奈这个月有活动吗？,"星梨奈这个月有活动吗？
如题，新手想买个杯子，听说coc星梨奈适合新手，一杯=多杯，既可以是电动杯又可以手动，
想问问兄弟们怎么入手更划算呢，",求助/咨询,否,4.0,5.0,410.0,3.0,0.0097560975609756,4.0,正面,星梨奈,电动功能,2025-08-11 14:18:10,2025/08/11,14
C酱1区,Xdm，你们选的那个套餐呢？,"Xdm，你们选的那个套餐呢？
",其他,否,3.0,5.0,373.0,2.0,0.0080428954423592,3.3000000000000003,中性,,,2025-08-11 14:34:34,2025/08/11,14
C酱1区,【科普】半身娃娃、圣杯的材料安全吗？,"【科普】半身娃娃、圣杯的材料安全吗？
萌新入门的时候肯定会有这样的担忧：飞机杯健康吗？这些材料会不会对身体有伤害？
其实飞机杯最健康的材质，普遍是TPE和硅胶这2种材质，
TPE和硅胶是有区别的，而TPE比硅胶更优质~
这篇就带各位兄弟门来看看TPE和硅胶的区别！",使用经验分享,否,6.0,2.0,555.0,1.0,0.0108108108108108,3.3000000000000003,中性,,外观、材质,2025-08-12 11:57:09,2025/08/12,11
C酱1区,coc赤鸢有收到货的吗？,"coc赤鸢有收到货的吗？
我就收到了赠品，本体还没有发，还在排队中",产品评测/开箱,否,4.0,0.0,617.0,1.0,0.006482982171799,1.9,中性,赤鸢,,2025-08-12 13:58:23,2025/08/12,13
C酱1区,迟到一个月的社长娜娜子测评来了！,"迟到一个月的社长娜娜子测评来了！
又名：藏在家里的女朋友，等父母出门就开始起飞🛫是什么体验！！！",产品评测/开箱,否,57.0,20.0,2837.0,0.0,0.0200916461050405,28.8,中性,,收纳,2025-08-12 15:36:17,2025/08/12,15
C酱1区,半身娃娃不用时怎么存放啊？,"半身娃娃不用时怎么存放啊？
想问问各位前辈，存放半年完全不用可以吗？
暑假买了社长娜娜子，每天都想......但是马上要回学校了，不想带回学校，我想着把它洗干净了多涂上保护粉放着，然后寒假回来再用可以吗？",使用经验分享,否,27.0,16.0,2089.0,17.0,0.0129248444231689,20.700000000000003,正面,,收纳、清洗,2025-08-12 16:13:18,2025/08/12,16
C酱1区,关于COC社长娜娜子那档事,"关于COC社长娜娜子那档事
1.手感方面、
大雷捏起来很有满足感，可以很轻松的乳胶。通道进入时能明显感觉到一层层的突破感，使用角度不同反馈感也不一样。
2.材质方面、
大雷的柔软度中规中矩，相比于黄油小姐还是没那么软的。
3.清洁、作为一款半身，清洗方面主要是体积大，最好是洗澡的时候顺带洗了，前通道可以通过按下小腹轻松把水挤出来，后通道很短清洗起来不算费劲。
（因为包装盒被我不小心丢掉了，只能忽略包装了😖，实物图就放在评论区了😏）#斐济杯#半身#COC社长娜娜子",其他,否,16.0,39.0,3666.0,7.0,0.0043644298963447,20.200000000000003,正面,黄油小姐,通道、清洗、材质、通道刺激度、收纳,2025-08-12 23:50:01,2025/08/12,23
C酱1区,【科普】贯通与非贯通飞机杯的区别及优缺点,"【科普】贯通与非贯通飞机杯的区别及优缺点
看到有8友好奇区别，我也是用了几个飞机杯才知道，贯通和非贯通的区别的：
其实也很好理解，贯通式和非贯通式：主要的差别在于尾端有没有封闭。贯通式的可容纳尺寸范围比较宽，易清洗，非贯通式的真实体感会更好。",使用经验分享,否,11.0,9.0,2627.0,4.0,0.0041872858774267,8.299999999999999,正面,,清洗、材质,2025-08-13 11:45:46,2025/08/13,11
C酱1区,终于学会了，可以狠狠玩星梨奈了！！,"终于学会了，可以狠狠玩星梨奈了！！
干货收藏了好几篇，从身体到心理都准备好了，大脑也储备了好多花样，这次我一定要尽兴前辈们，你们有啥好玩的玩法啊？",使用经验分享,否,19.0,17.0,3558.0,1.0,0.0053400786958965,13.0,正面,星梨奈,收纳,2025-08-13 17:23:51,2025/08/13,17
C酱1区,拿下COC半身赤鸢!,"拿下COC半身赤鸢!
最近下单了从7月等到现在的""解压小玩具""，直接88＋9.9元购买的优惠券低价拿下。
搭配的装扮也是十分合适，期待到货开箱。",产品评测/开箱,否,5.0,5.0,1284.0,2.0,0.0038940809968847,4.1,中性,赤鸢,,2025-08-14 10:39:18,2025/08/14,10
C酱1区,coc半身赤鸢有图有视频 嘿嘿嘿,"coc半身赤鸢有图有视频 嘿嘿嘿
一楼不给看老年人发的慢，希望不要被吞啊！！！",其他,否,36.0,36.0,4178.0,11.0,0.0086165629487793,28.5,中性,赤鸢,,2025-08-14 12:50:08,2025/08/14,12
C酱1区,COC赤鸢到底怎么样啊？,"COC赤鸢到底怎么样啊？
首发没买，现在看到8友们发的图片心动了，有收到的兄弟说说吗？",闲聊/水贴,否,2.0,0.0,694.0,1.0,0.0028818443804034,1.1,中性,赤鸢,,2025-08-14 14:54:42,2025/08/14,14
C酱1区,半身娃娃能用多久？,"半身娃娃能用多久？
兄弟们你们的半身娃娃能用多久呢
穷学生，想买一个用一年可以吗？",其他,否,3.0,4.0,376.0,1.0,0.0079787234042553,2.7,正面,,,2025-08-14 15:53:04,2025/08/14,15
C酱1区,国漫咖色美女【赤鸢】评测来袭！结婚副本1=1，有美女带飞！,"国漫咖色美女【赤鸢】评测来袭！结婚副本1=1，有美女带飞！
结婚啦结婚啦！整个婚礼现场只有新郎官是最后一个知道自己马上要有个老婆是一种怎样的体验？
体验中式民俗婚礼，娶回咖色大🐻美女，COC八月新品直接跳过谈恋爱，让各位老司机们体验一把“闹洞房”的感觉~",产品评测/开箱,否,53.0,29.0,3350.0,3.0,0.015820895522388,30.8,正面,赤鸢,外观,2025-08-14 16:02:44,2025/08/14,16
C酱1区,【圣杯科普】半身娃娃怎么能更快干燥呢？,"【圣杯科普】半身娃娃怎么能更快干燥呢？
众众众...众所周知！我们在清洗杯子、半身后，吸干水分都是用的吸水棒，这玩意吧虽然好使方便，但是速度有点慢...
那，到底还有没有什么“小工具”，可以加快我们干燥飞机杯的过程呢？",使用经验分享,否,28.0,34.0,2289.0,2.0,0.0122324159021406,22.0,正面,,清洗、通道刺激度,2025-08-15 11:04:09,2025/08/15,11
C酱1区,【科普】什么姿势玩杯更舒服？,"【科普】什么姿势玩杯更舒服？
哈喽各位xdm，你们在飞行过程中是否会遇到这样一些情况，无论怎么调整姿势，就是感觉不对劲~
别问我怎么知道！那当然就是我也遇到了这些问题，为此我特意去查了资料，总结了这5个好玩方法↓",使用经验分享,否,9.0,6.0,734.0,1.0,0.0122615803814713,5.7,正面,,,2025-08-15 17:33:58,2025/08/15,17
C酱1区,宿舍用半身娃娃会被发现吗？,"宿舍用半身娃娃会被发现吗？
一直以来在宿舍都是用杯子的，暑假在家拥有了一个小屯黄油小姐，但最近又有点心水新出的黑皮半身赤鸢，前辈们，半身会不会太大了不好藏啊？可以在宿舍用半身吗？要怎么藏起来呢？",其他,否,5.0,0.0,480.0,2.0,0.0104166666666666,2.6,正面,赤鸢、黄油小姐,收纳,2025-08-15 18:22:14,2025/08/15,18
C酱1区,coc半身倒模赤鸢到货测评,"coc半身倒模赤鸢到货测评
coc半身赤鸢到货测评，我的圣杯战争又多了一名新成员😋",产品评测/开箱,否,53.0,19.0,7125.0,17.0,0.007438596491228,32.0,中性,赤鸢,,2025-08-19 01:22:41,2025/08/19,1
C酱1区,【科普】半身娃娃好清洗吗？怎么清洗保养更方便呢？,"【科普】半身娃娃好清洗吗？怎么清洗保养更方便呢？
好多兄弟在入手半身的时候都会有这种担忧，
确实半身清洗保养要比单纯的杯子麻烦一些，
但是得到的视觉以及体感happy是单一的杯子无法媲美的。
因此也有很多兄弟毅然决然的选择有🐻有皮鼓的它们",使用经验分享,否,38.0,45.0,3683.0,1.0,0.0103176758077654,29.000000000000004,正面,,外观、清洗、材质,2025-08-19 13:43:00,2025/08/19,13
C酱1区,xdm，我来了开箱coc赤鸢了！,"xdm，我来了开箱coc赤鸢了！
",产品评测/开箱,否,30.0,30.0,1759.0,0.0,0.0170551449687322,21.0,中性,赤鸢,,2025-08-19 14:30:53,2025/08/19,14
C酱1区,中式婚礼玩得这么大？22岁毕业男生测评半身娃娃——COC赤鸢！,"中式婚礼玩得这么大？22岁毕业男生测评半身娃娃——COC赤鸢！
大家都结过婚吗？
嘿嘿，不好意思，我跟赤鸢结了，也算是借着↓
这款“婚庆主题”半身娃娃，体验一下当新郎官的奇妙感觉~",产品评测/开箱,否,138.0,53.0,5554.0,5.0,0.0248469571480014,72.6,正面,赤鸢,,2025-08-19 14:45:02,2025/08/19,14
