数据来源,内容,点赞数,情绪标签,意图标签,提及产品,产品属性标签,发布时间
C酱1区,+1,0,中性,其他,,,2025-07-29 10:25:50
C酱1区,有需求就有生产,0,中性,其他,,,2025-07-29 10:28:52
C酱1区,对的，还带锁和钥匙,0,中性,其他,,,2025-07-29 10:30:10
C酱1区,漂亮！,0,中性,其他,,外观,2025-07-29 10:38:30
C酱1区,s的小衣服或者是童装,0,中性,其他,,,2025-07-29 12:26:49
C酱1区,超级对！Super big 🐻+Super big 皮鼓,0,中性,其他,,,2025-07-29 14:07:51
C酱1区,是的,0,中性,其他,,,2025-07-29 15:33:35
C酱1区,🤣有钱就可以,0,正面,简单互动,,,2025-07-29 15:33:55
C酱1区,还好出油不算多,0,正面,其他,,清洗,2025-07-29 15:40:53
C酱1区,普通人够用就行，头重脚轻不可取,0,正面,其他,,,2025-07-29 15:49:00
C酱1区,放包里,0,中性,其他,,收纳,2025-07-29 15:49:55
C酱1区,黄油小姐适合慢玩，现在准备再入个社长娜娜子,0,中性,吐槽不满,黄油小姐,通道刺激度,2025-07-29 17:12:19
C酱1区,10斤 正常的书包可以的，但因为大雷造型不建议长期用书包存放,0,中性,其他,,收纳,2025-07-29 17:16:17
C酱1区,,0,中性,其他,,,2025-07-29 17:17:43
C酱1区,我感觉还好，我一般是用流水冲，洗个几次习惯了就好,0,正面,使用反馈,,清洗,2025-07-29 17:19:17
C酱1区,我必须量一量，这排名肯定不准！,0,中性,其他,,,2025-07-29 17:21:14
C酱1区,,0,中性,其他,,,2025-07-30 07:46:31
C酱1区,这个一看就更次级,0,中性,其他,,,2025-07-30 09:39:08
C酱1区,一个篇次级，后通道没那么次级，前通是是5种螺纹和凸起组成，后通道又长又紧缩,0,中性,其他,,通道,2025-07-30 10:23:04
C酱1区,可以的，宿舍党狂喜,0,正面,简单互动,,,2025-07-30 10:23:19
C酱1区,我跟爸妈住，可以用,0,正面,其他,,,2025-07-30 10:38:50
C酱1区,我感觉是星梨奈诶,0,中性,使用反馈,星梨奈,,2025-07-30 10:41:24
C酱1区,啊没用过极速之星，听说很次级，容易被秒,0,中性,简单互动,,,2025-07-30 10:49:16
C酱1区,开始拿到是有点范畴，按照清洗步骤洗也好啦，当然对比小的圣杯好清洗些,0,正面,使用反馈,,清洗,2025-07-30 10:50:47
C酱1区,哥们 用的还好吗 我120斤用个44斤的感觉有点重,3,正面,使用反馈,,,2025-07-30 12:30:31
C酱1区,好桑心喵,0,正面,其他,,,2025-07-30 14:23:08
C酱1区,买了半年了，我在寝室用一般周末才用使用频率不高,0,中性,其他,,,2025-07-30 16:53:05
C酱1区,我带了,0,中性,其他,,,2025-07-30 17:29:24
C酱1区,我都用我表姐淘汰了的衣服,0,中性,其他,,,2025-07-30 17:29:57
C酱1区,新手期更容易遇到这些问题,0,中性,吐槽不满,,,2025-07-31 09:27:22
C酱1区,xdm你现在在那个阶段，用什么的圣杯呢？,0,中性,使用反馈,,,2025-07-31 09:32:01
C酱1区,没放润滑液吧,0,中性,其他,,收纳,2025-07-31 09:46:49
C酱1区,cy,0,中性,其他,,,2025-07-31 09:47:40
C酱1区,也只能如此,0,中性,其他,,,2025-07-31 09:55:03
C酱1区,星梨奈是那种类型呢？,0,中性,其他,星梨奈,,2025-07-31 09:58:33
C酱1区,放床上,0,中性,其他,,收纳,2025-07-31 09:58:57
C酱1区,cy,0,中性,其他,,,2025-07-31 09:59:22
C酱1区,学习时要专注练不了,0,中性,其他,,,2025-07-31 10:00:13
C酱1区,,0,中性,其他,,,2025-07-31 10:01:56
C酱1区,,0,中性,其他,,,2025-07-31 10:16:52
C酱1区,羡慕,0,中性,其他,,,2025-07-31 10:18:29
C酱1区,拔丁助长,0,中性,其他,,,2025-07-31 10:22:08
C酱1区,“保密发货”,0,中性,其他,,,2025-07-31 10:24:38
C酱1区,新疆大佬无敌了,0,中性,其他,,,2025-07-31 10:25:04
C酱1区,我的用了大半年了,0,中性,使用反馈,,,2025-07-31 10:25:47
C酱1区,cy,0,中性,其他,,,2025-07-31 10:26:37
C酱1区,三个,0,中性,其他,,,2025-07-31 10:59:05
C酱1区,对,0,中性,其他,,,2025-07-31 11:35:29
C酱1区,我买了娜娜子，感觉有点硬啊,0,负面,使用反馈,,材质,2025-07-31 13:37:00
C酱1区,星梨奈比较好上手,0,正面,使用反馈,星梨奈,,2025-07-31 16:14:45
C酱1区,优势太明显了喵,0,中性,其他,,,2025-07-31 16:18:14
C酱1区,⊙∀⊙！,0,中性,其他,,,2025-07-31 16:18:50
C酱1区,我的感觉还好，你肯定喜欢黄油小姐那种软的,0,正面,使用反馈,黄油小姐,材质,2025-07-31 16:25:15
C酱1区,有兄弟说极速之星容易被秒，所以我还是先练练,1,中性,其他,,,2025-07-31 16:28:44
C酱1区,是的，第一只圣杯就是星梨奈,0,中性,其他,星梨奈,,2025-07-31 16:29:25
C酱1区,现在我要进阶了,0,中性,使用反馈,,,2025-07-31 16:29:42
C酱1区,打消了我的念头,0,中性,其他,,,2025-07-31 16:30:04
C酱1区,已经有了！星梨奈性价比最高,0,中性,使用反馈,星梨奈,,2025-07-31 16:30:39
C酱1区,娜娜子就十斤我要两只手,0,中性,其他,,,2025-07-31 16:31:07
C酱1区,你可太有生活了,0,中性,其他,,,2025-08-01 11:01:31
C酱1区,,0,中性,其他,,,2025-08-01 23:23:10
C酱1区,666,0,中性,简单互动,,,2025-08-02 13:40:58
C酱1区,某宝直接搜coc就可以了哦,0,正面,其他,,,2025-08-02 14:25:45
C酱1区,看那上面是ying的吧，ruan的十几cm那不无敌了！,0,中性,其他,,,2025-08-02 20:24:59
C酱1区,外形是娜娜子，功能是星梨奈,0,中性,其他,星梨奈,外观,2025-08-02 20:25:48
C酱1区,🈶养护的那个,0,中性,其他,,,2025-08-02 20:28:34
C酱1区,蹲蹲,0,中性,其他,,,2025-08-03 21:51:23
C酱1区,完美大雷,0,中性,其他,,外观,2025-08-03 21:53:28
C酱1区,二代在一代基础上升级的，总体感觉会更次级一些,0,中性,使用反馈,,,2025-08-04 09:16:45
C酱1区,你是选择的APP的版本吗？,0,中性,其他,,电动功能,2025-08-04 09:17:10
C酱1区,我每次找客服都蛮积极的诶，兄弟你啥时候找的啊？,0,中性,吐槽不满,,,2025-08-04 09:17:57
C酱1区,bo起吗？已经不错了,1,正面,使用反馈,,,2025-08-04 09:49:00
C酱1区,不是上面的数据是^_^Y硬的时候量の喵,0,负面,其他,,材质,2025-08-04 09:49:57
C酱1区,我觉得这要看自己的阈值，还有是否愿意花更多的时间去保养清洗,0,中性,使用反馈,,清洗,2025-08-04 11:51:44
C酱1区,看了测评我感觉mini版很适合宿舍用,0,中性,使用反馈,,,2025-08-04 11:54:35
C酱1区,还能这样啊？,0,中性,其他,,,2025-08-04 11:55:36
C酱1区,xd，没回我就当你……,0,中性,其他,,,2025-08-04 11:59:46
C酱1区,埋在里面也用不到啊,0,中性,其他,,,2025-08-04 12:18:11
C酱1区,🙃🙃🙃,0,中性,其他,,,2025-08-04 13:36:06
C酱1区,要相信每一段都是有用的,0,中性,其他,,,2025-08-04 14:00:37
C酱1区,没错,0,中性,简单互动,,,2025-08-04 14:02:28
C酱1区,我有个想法，十来斤的半身是不是可以买童装穿⊙∀⊙！,0,正面,其他,,,2025-08-04 14:04:17
C酱1区,看起来🐻挺大的有点外扩,0,中性,其他,,,2025-08-04 14:05:19
C酱1区,看下来无外乎放行李箱里，衣柜里，箱子里，密码盒里,0,正面,其他,,收纳,2025-08-04 14:06:28
C酱1区,因地制宜,0,中性,其他,,,2025-08-04 16:56:16
C酱1区,两百多不到三百,0,中性,其他,,,2025-08-04 20:30:46
C酱1区,如果是新手可以看看玩具使用保养流程,0,正面,其他,,清洗,2025-08-05 09:10:44
C酱1区,白丝,0,中性,其他,,,2025-08-05 09:40:26
C酱1区,可以交流使用体验,0,正面,使用反馈,,,2025-08-05 09:41:49
C酱1区,送我,0,中性,其他,,,2025-08-05 09:54:49
C酱1区,看个人,0,中性,其他,,,2025-08-05 10:17:01
C酱1区,都尝试了，很不错🤣,0,正面,其他,,,2025-08-05 11:23:22
C酱1区,慢玩款，一个高中次级，挺难选的，如果之前没用过杯，建议先来黄油小姐,0,中性,吐槽不满,黄油小姐,通道刺激度,2025-08-05 11:24:51
C酱1区,是不是可以808蹲一波哦？,0,正面,其他,,,2025-08-05 11:27:31
C酱1区,星梨奈3斤，娜娜子10斤，重量不一样体验不一样,0,中性,使用反馈,星梨奈,,2025-08-05 11:57:42
C酱1区,好,0,正面,其他,,,2025-08-05 13:37:37
C酱1区,👌,0,中性,其他,,,2025-08-05 13:37:46
C酱1区,社长娜娜子还不错,0,正面,其他,,,2025-08-05 14:30:54
C酱1区,不要买腿，太难打理了,0,中性,其他,,,2025-08-05 14:33:26
C酱1区,楼楼在哪里入的呢？怎么买划算,0,正面,咨询问题,,,2025-08-05 14:34:16
C酱1区,记得一定要薅个券！！,0,中性,其他,,,2025-08-05 15:58:17
C酱1区,淘宝搜coc社长娜娜子，认准旗舰店,0,中性,其他,,,2025-08-05 15:58:51
C酱1区,可以等活动期，各个品牌在活动期间都是会打折的,0,正面,其他,,,2025-08-05 16:11:36
C酱1区,最近的活动期coc星梨奈，有88活动，先薅个券，然后等活动期叠加,0,中性,其他,星梨奈,,2025-08-05 16:12:39
C酱1区,传送🚪http://tieba.baidu.com/mo/q/checkurl?url=https%3A%2F%2Fshop.m.taobao.com%2Fshop%2Fsr.htm%3Fp%3DD1qd6Il_nYpgg_0_uO6nB&urlrefer=93b79add9b8ac7194d74be077b8ec478,0,中性,咨询问题,,,2025-08-05 16:27:12
C酱1区,哪个兄弟诶,0,中性,咨询问题,,,2025-08-05 17:57:59
C酱1区,保养得好半年没问题，又看到8u用了一年的也有,0,正面,吐槽不满,,清洗,2025-08-05 17:58:40
C酱1区,好想法,0,正面,其他,,,2025-08-05 20:10:17
C酱1区,感觉可以买童装,0,正面,使用反馈,,,2025-08-05 20:11:29
C酱1区,不差钱就可以再入个社长娜娜子,0,中性,其他,,,2025-08-05 20:11:58
C酱1区,发不出来，重量是十斤,0,中性,其他,,,2025-08-06 09:41:07
C酱1区,我超过平均了,0,中性,其他,,,2025-08-07 10:48:36
C酱1区,够用就行,0,正面,其他,,,2025-08-07 10:48:56
C酱1区,无需锻炼20分钟起,0,中性,其他,,通道刺激度,2025-08-07 10:55:11
C酱1区,本篇适合新手~,0,中性,其他,,,2025-08-07 10:57:55
C酱1区,一代刺激度小，适合新手慢玩，二代刺激度大，能体验那种突破感，我没用过二代不知道刺激度大概啥样,0,中性,吐槽不满,,通道刺激度,2025-08-07 16:09:44
C酱1区,买了一年，也不是天天用，加上中间有一段时间一直放着，保养的还算可以，倒是没啥问题，就是通道有点松了,0,中性,吐槽不满,,通道、收纳、清洗,2025-08-07 16:12:06
C酱1区,纠结是娜娜子还是极速之星,0,中性,其他,,,2025-08-07 16:13:09
C酱1区,我感觉娜娜子用着还行,0,正面,使用反馈,,,2025-08-07 16:14:58
C酱1区,是的！,0,中性,其他,,,2025-08-07 16:15:33
C酱1区,我觉得还可以，一代刺激度比较小，正常的话能玩挺久的，如果觉得不够刺激的话可以手动辅助一下。,0,正面,使用反馈,,通道刺激度,2025-08-07 16:17:12
C酱1区,恭喜╰(*´︶`*)╯,0,中性,其他,,,2025-08-07 16:17:54
C酱1区,五楼有优惠，可以翻上去看一下,0,正面,其他,,,2025-08-07 16:18:00
C酱1区,娜娜子新手适合吗？,0,中性,其他,,,2025-08-07 16:19:37
C酱1区,纠结选二代还是mini版,0,中性,其他,,,2025-08-07 16:23:09
C酱1区,竟然能看到神代雾子测评,0,中性,其他,,,2025-08-07 16:23:12
C酱1区,我就说咋没了，还好在！,0,正面,其他,,,2025-08-07 16:23:14
C酱1区,新手建议选那个版本诶？,0,中性,其他,,,2025-08-07 16:26:55
C酱1区,已经有黄油小姐，犹豫要不要入手娜娜子，娜娜子通道对比黄油那个更舒服？,0,正面,购买意向,黄油小姐,通道,2025-08-07 16:31:13
C酱1区,这是啥好东西！,0,正面,其他,,,2025-08-07 16:32:05
C酱1区,多重呢？实物有多大啊？,0,中性,其他,,材质,2025-08-07 16:34:05
C酱1区,建议二代⊙∀⊙！,0,中性,其他,,,2025-08-07 16:50:26
C酱1区,看你喜欢单通道还是双通道,0,正面,其他,,通道,2025-08-07 16:51:07
C酱1区,两瓶2.5l可乐的重量，10斤,0,中性,其他,,,2025-08-07 17:09:36
C酱1区,我也想但……,0,中性,其他,,,2025-08-07 17:10:18
